iteration, diff_x, diff_y, diff_z, distance 
thumb 1, -2.459, -1.985, -5.513, 6.354 
middle 1, 2.431, 1.845, 5.316, 6.129 
thumb 2, -2.376, -1.851, -5.139, 5.957 
middle 2, 2.348, 1.718, 4.956, 5.747 
thumb 3, -2.295, -1.724, -4.791, 5.585 
middle 3, 2.267, 1.599, 4.621, 5.390 
thumb 4, -2.216, -1.604, -4.468, 5.238 
middle 4, 2.188, 1.486, 4.310, 5.056 
thumb 5, -2.139, -1.490, -4.166, 4.914 
middle 5, 2.111, 1.378, 4.020, 4.745 
thumb 6, -2.063, -1.382, -3.886, 4.612 
middle 6, 2.036, 1.277, 3.750, 4.454 
thumb 7, -1.990, -1.280, -3.625, 4.329 
middle 7, 1.963, 1.181, 3.499, 4.182 
thumb 8, -1.919, -1.183, -3.382, 4.065 
middle 8, 1.893, 1.090, 3.265, 3.929 
thumb 9, -1.850, -1.092, -3.157, 3.818 
middle 9, 1.825, 1.004, 3.048, 3.692 
thumb10, -1.784, -1.006, -2.946, 3.588 
middle10, 1.759, 0.923, 2.845, 3.470 
thumb11, -1.719, -0.924, -2.751, 3.373 
middle11, 1.695, 0.846, 2.657, 3.263 
